file,time,var1,var2,var3,var4,var5,var6,var7,var8,var9,type
4,282,14,14176,13600,40632,23829,32400,1971,34675,9472,type5
4,282,15,4816,944,38120,22309,32416,15608,23891,7344,type4
4,282,18,12736,15584,38555,22392,32400,15627,19523,2416,type4
4,282,20,11360,15600,38216,21381,32400,1272,31219,2752,type3
4,282,21,28320,35008,39728,21291,32400,3341,35149,8928,type5
4,282,28,8848,9504,45176,27653,32400,1085,47517,23552,type2
4,282,29,5840,12176,32208,15997,32400,3715,18064,0,type3
4,282,30,4128,7840,37405,22347,32384,2115,46947,17664,type2
4,282,34,10064,2880,39848,24693,32416,1344,43851,16736,type2
4,282,35,12192,4848,36851,18819,32400,2205,45483,17552,type2
4,282,36,24464,24992,58072,44523,32416,11299,64744,45328,type2
4,282,37,21888,31952,33461,15264,32400,491,28149,5776,type3
4,282,43,25168,18928,31976,12315,32400,2976,36149,9984,type5
4,282,45,7040,9680,14664,7976,32400,1493,15027,4528,type3
4,282,46,27456,18672,38016,22520,32416,1261,34725,11648,type5
4,282,48,5088,3008,40469,24448,32432,2827,43133,14560,type2
4,282,53,5760,6496,43376,25264,32400,2285,47056,19808,type2
4,282,56,20368,28144,29795,9651,32400,3933,29765,7696,type3
4,282,64,22944,21744,34795,15168,32400,3053,37856,12368,type5
4,282,65,19360,24544,53907,38757,32416,8000,47088,17792,type2
4,282,66,5008,3744,33875,17880,32400,987,24088,128,type3
4,282,72,20960,27344,34181,14811,32416,1304,39187,15680,type5
4,283,79,15120,24960,38421,22552,32400,2096,30917,4144,type3
4,283,80,23632,15760,24896,11795,32400,10243,19067,0,type4
4,283,86,5712,6096,41515,23579,32400,675,42013,11664,type5
4,283,88,11504,20400,35957,18333,32416,3421,37949,15776,type5
4,283,89,32592,23648,33795,20475,32416,1037,24824,7840,type3
4,283,90,9696,224,13069,32,32400,341,12760,0,type3
4,283,93,10544,13632,38197,20088,32416,1739,37952,14368,type5
4,283,94,14176,8384,36520,17789,32384,2835,41552,18736,type2
4,283,102,19200,28256,35219,18853,32416,3283,30789,9344,type3
4,283,105,26192,25216,36011,18235,32416,2963,27923,7040,type3
4,283,108,21008,24512,29835,11717,32400,7848,14323,0,type4
4,283,109,20048,13248,35267,17955,32400,2349,35307,8784,type5
4,283,110,3888,1280,26301,10323,32400,19848,17845,4464,type4
4,283,113,5984,2688,39373,22813,32400,1093,43637,19488,type2
4,283,114,12560,4368,23440,5821,32416,12256,15760,896,type4
4,283,116,25296,15520,27485,9117,32400,8731,15757,0,type4
4,283,120,4624,6496,41640,24832,32400,1101,41805,13392,type2
4,283,132,26800,28784,39541,23264,32400,2176,31691,7584,type5
4,283,133,19024,14768,21080,2947,32400,5352,5709,0,type4
4,283,139,3632,10784,38704,23432,32400,624,19005,0,type3
4,283,140,14992,10832,17899,3264,32400,8237,12579,0,type4
4,283,141,5712,6512,39493,23376,32416,15813,18701,8240,type4
4,283,146,12688,16944,37701,19021,32416,1949,40309,14384,type5
4,283,150,21552,23632,41024,22155,32400,3707,36560,14512,type5
4,283,157,20560,27792,28504,9821,32400,2091,25616,928,type3
4,283,168,4752,12368,16651,2629,32400,1613,30643,4592,type3
4,283,172,16944,24272,25091,2779,32384,1267,30893,11152,type3
4,283,173,21408,19248,49496,31877,32400,6661,45581,15360,type2
4,283,175,7856,1040,28139,12784,32400,3197,35323,896,type3
4,283,176,23248,32592,37277,22211,32400,1819,28243,7520,type3
4,283,178,7104,5456,42581,26381,32416,565,38621,8320,type5
4,283,179,6528,1824,28979,11539,32400,3040,39171,7808,type5
4,283,180,26128,26960,41088,23107,32416,26920,30051,10480,type4
4,283,181,6144,15296,12264,0,32400,280,32157,11584,type3
4,283,182,5264,6928,39128,22107,32432,2827,40523,12288,type5
4,283,184,4416,3056,37064,21437,32416,13771,17371,2912,type4
4,283,185,20960,30192,35272,19789,32400,13069,14968,2912,type4
4,283,188,34496,28672,40179,20867,32400,2456,33144,5184,type5
4,283,189,4640,3328,25723,11325,32400,16645,21376,976,type4
4,283,190,30208,26032,38981,20133,32400,0,34389,6096,type5
4,283,195,5760,10192,40043,22029,32400,3776,40739,12960,type5
4,283,205,10752,11696,39251,20136,32400,1741,37427,11536,type5
4,283,208,5760,816,24928,10253,32416,9115,22448,2496,type4
4,283,214,7424,2976,43277,27533,32416,1736,40195,15728,type2
4,283,215,32816,25280,35616,17880,32416,1544,26547,6640,type3
4,284,229,29024,37440,45611,26808,32416,3603,32021,7760,type5
4,284,230,24656,20528,37752,19200,32400,16675,17768,1552,type4
4,284,231,30720,25888,35373,17075,32400,1248,28163,4480,type3
4,284,236,20304,25248,28016,12384,32416,5744,8691,0,type4
4,284,238,6672,9360,31357,13131,32416,1931,29051,6272,type3
4,284,244,6928,3248,40344,24163,32416,1381,38261,13184,type5
4,284,245,15840,24352,49915,31947,32416,1155,43235,16816,type2
4,284,253,19008,24144,31501,16747,32400,4120,12197,9456,type3
4,284,265,15952,6960,39008,22333,32416,1603,38696,14496,type5
4,284,268,5728,15392,45752,29155,32416,26227,35536,6208,type4
4,284,272,5808,1104,38853,22776,32400,2512,44480,18192,type2
4,284,275,25952,23840,33299,14120,32400,2125,29379,1952,type3
4,284,276,4992,1376,34107,17677,32416,19299,22645,3568,type4
4,284,283,15376,15792,36949,17235,32400,1608,39739,9520,type5
4,284,288,6688,1088,39605,21661,32400,875,46853,17648,type2
4,284,293,4224,10400,43019,26597,32400,2880,46867,20608,type2
4,284,304,5792,15568,43237,26755,32416,1291,44773,17472,type2
4,284,306,13936,19872,37312,19227,32400,3211,33984,11488,type5
4,284,309,32160,23360,34741,13917,32400,3131,34029,15632,type5
